0	0.0418
11	0.0245
22	0.2755
33	0.0209
44	0.0591
55	0.1136
66	-0.0200
77	0.2791
88	0.2064
99	-0.0118
110	0.3609
121	0.2109
132	-0.1455
143	-0.1082
154	0.0482
165	0.0345
176	0.1409
187	-0.0600
198	0.0773
209	0.1182
220	-0.2218
231	-0.1691
242	0.1691
253	-0.0282
264	-0.1182
275	0.0355
286	0.0164
297	0.1391
308	-0.1145
319	0.0282
330	0.0200
341	0.2709
352	-0.1436
363	-0.1727
374	-0.1782
385	0.0827
396	-0.3273
407	0.2209
418	0.2236
429	0.3036
440	0.0045
451	0.1955
462	0.1155
473	0.1800
484	0.1791
495	0.1791
506	0.1482
517	-0.0700
528	0.0936
539	0.1291
550	0.1427
561	0.3618
572	0.1818
583	0.3309
594	0.2755
605	0.3100
616	0.1845
627	0.1064
638	0.3373
649	0.0200
660	0.1964
671	0.2127
682	0.0445
693	0.0518
704	0.1555
715	0.2218
726	0.2827
737	0.2927
748	0.1273
759	0.1909
770	0.2082
781	0.1409
792	0.1945
803	0.0100
814	0.1991
825	0.2573
836	0.2782
847	0.0764
858	0.0936
869	0.0182
880	-0.0773
891	0.0591
902	0.0436
913	0.2400
924	-0.2882
935	-0.1027
946	-0.0591
957	0.1509
968	-0.0582
979	-0.0736
990	-0.0245
1001	-0.1445
1012	-0.0400
1023	0.2018
1034	0.1555
1045	0.1809
1056	-0.3409
1067	-0.1482
1078	-0.2764
1089	-0.0400
1100	-0.2173
1111	0.3391
1122	-0.0245
1133	0.1373
1144	0.0145
1155	0.1918
1166	0.0773
1177	0.0818
1188	0.1982
1199	0.3418
1210	0.3736
1221	0.3909
1232	0.1773
1243	0.0427
1254	0.1636
1265	0.0736
1276	0.1182
1287	-0.0445
1298	0.2018
1309	0.0236
1320	0.1945
1331	0.2182
1342	0.1945
1353	0.0491
1364	-0.0364
1375	-0.0936
1386	0.1000
1397	0.0191
