0	0.0918
11	-0.0618
22	0.3273
33	0.1245
44	0.1182
55	0.3973
66	-0.0936
77	-0.0364
88	0.1127
99	-0.1545
110	0.2018
121	-0.1164
132	-0.2291
143	0.0400
154	-0.0000
165	0.0955
176	0.1518
187	-0.0045
198	-0.0418
209	-0.2236
220	-0.0209
231	-0.0173
242	0.0673
253	0.0764
264	0.0436
275	0.0327
286	0.1427
297	0.0545
308	0.0900
319	0.1682
330	0.0418
341	0.0455
352	0.0391
363	-0.0427
374	-0.1736
385	-0.0573
396	-0.1764
407	0.1018
418	0.0682
429	0.0209
440	0.0127
451	-0.2218
462	0.2109
473	0.1964
484	-0.1400
495	0.2573
506	0.1373
517	-0.0136
528	0.0036
539	0.2700
550	-0.1864
561	-0.0182
572	-0.1373
583	0.0409
594	-0.0145
605	0.0164
616	0.3973
627	-0.2118
